month,division,line,day_type,num_sched_trains,num_actual_trains,service delivered
2020-03-01,B DIVISION,L,2,240,241,100.4166667
2020-03-01,B DIVISION,L,1,1440,1379,95.7638889
2020-03-01,B DIVISION,M,2,840,812,96.6666667
2020-03-01,B DIVISION,M,1,1350,1268,93.9259259
2020-03-01,B DIVISION,N,2,1239,1193,96.2873285
2020-03-01,B DIVISION,N,1,1350,1283,95.037037
2020-03-01,B DIVISION,Q,2,1392,1382,99.2816092
2020-03-01,B DIVISION,Q,1,1545,1495,96.763754
2020-03-01,B DIVISION,R,1,1485,1404,94.5454545
2020-03-01,B DIVISION,R,2,1040,1041,100.0961538
2020-03-01,B DIVISION,S Fkln,2,608,606,99.6710526
2020-03-01,B DIVISION,S Fkln,1,540,538,99.6296296
2020-03-01,B DIVISION,S Rock,1,330,325,98.4848485
2020-03-01,B DIVISION,S Rock,2,384,384,100
2020-03-01,B DIVISION,W,1,585,536,91.6239316
2020-03-01,Systemwide,Systemwide,1,32495,31468,96.8395138
2020-03-01,Systemwide,Systemwide,2,21037,20503,97.4616152
2020-02-01,A DIVISION,1,1,1577,1565,99.2390615
2020-02-01,A DIVISION,1,2,1077,1069,99.2571959
2020-02-01,A DIVISION,2,1,2090,2054,98.277512
2020-02-01,A DIVISION,2,2,2106,2031,96.4387464
2020-02-01,A DIVISION,3,1,1938,1909,98.503612
2020-02-01,A DIVISION,3,2,1440,1431,99.375
2020-02-01,A DIVISION,4,1,2679,2548,95.1101157
2020-02-01,A DIVISION,4,2,2144,2054,95.8022388
2020-02-01,A DIVISION,5,1,2413,2291,94.944053
2020-02-01,A DIVISION,5,2,1404,1379,98.2193732
2020-02-01,A DIVISION,6,1,1954,1868,95.5987718
2020-02-01,A DIVISION,6,2,1076,1055,98.0483271
2020-02-01,A DIVISION,7,1,2584,2527,97.7941176
2020-02-01,A DIVISION,7,2,1440,1412,98.0555556
2020-02-01,A DIVISION,S 42nd,1,1900,1865,98.1578947
2020-02-01,A DIVISION,S 42nd,2,1290,1260,97.6744186
2020-02-01,B DIVISION,A,1,2451,2321,94.6960424
2020-02-01,B DIVISION,A,2,1720,1672,97.2093023
2020-02-01,B DIVISION,B,1,1596,1512,94.7368421
2020-02-01,B DIVISION,C,1,1425,1366,95.8596491
2020-02-01,B DIVISION,C,2,1440,1378,95.6944444
2020-02-01,B DIVISION,D,2,1626,1585,97.4784748
2020-02-01,B DIVISION,D,1,1729,1674,96.8189705
2020-02-01,B DIVISION,E,2,320,319,99.6875
2020-02-01,B DIVISION,E,1,1482,1424,96.0863698
2020-02-01,B DIVISION,F,1,2755,2677,97.168784
2020-02-01,B DIVISION,F,2,1120,1072,95.7142857
2020-02-01,B DIVISION,G,2,2065,2030,98.3050847
2020-02-01,B DIVISION,G,1,855,828,96.8421053
2020-02-01,B DIVISION,JZ,1,969,947,97.7296182
2020-02-01,B DIVISION,JZ,2,812,796,98.0295567
2020-02-01,B DIVISION,L,1,1824,1765,96.7653509
2020-02-01,B DIVISION,L,2,432,428,99.0740741
2020-02-01,B DIVISION,M,1,1710,1625,95.0292398
2020-02-01,B DIVISION,M,2,1080,1053,97.5
2020-02-01,B DIVISION,N,1,1620,1532,94.5679012
2020-02-01,B DIVISION,N,2,1500,1488,99.2
2020-02-01,B DIVISION,Q,1,1957,1892,96.6785897
